word,partOfSpeech,meaning,example,translation,synonyms,collocation,category,level
exchangeable,adjective,可交換的,The company needs an exchangeable solution for this issue.,公司需要一個可交換的的解決方案來處理這個問題。,convertible; interchangeable,exchangeable service,Shopping,Advanced
returnable,adjective,可退回的,The company needs a returnable solution for this issue.,公司需要一個可退回的的解決方案來處理這個問題。,-,returnable service,Shopping,Advanced
receipt,noun,收據,Please review the receipt before the meeting.,請在會議前確認這項收據。,reception,receipt information,Shopping,Basic
cashmere,noun,喀什米爾羊毛,Please review the cashmere before the meeting.,請在會議前確認這項喀什米爾羊毛。,Kashmir; Jammu and Kashmir,cashmere information,Shopping,Advanced
apparel,noun,服裝,Please review the apparel before the meeting.,請在會議前確認這項服裝。,wearing apparel; dress,apparel information,Shopping,Intermediate
accessory,noun,配件；附屬品,Please review the accessory before the meeting.,請在會議前確認這項配件。,accoutrement; accouterment,accessory information,Shopping,Intermediate
grocery,noun,雜貨,Please review the grocery before the meeting.,請在會議前確認這項雜貨。,grocery store; food market,grocery information,Shopping,Basic
pharmacy,noun,藥局,Please review the pharmacy before the meeting.,請在會議前確認這項藥局。,pharmaceutics; drugstore,pharmacy information,Shopping,Basic
catalog,noun,目錄,Please review the catalog before the meeting.,請在會議前確認這項目錄。,catalogue,catalog information,Shopping,Intermediate
browse,verb,瀏覽；隨意查看,Please browse the document before Friday.,請在星期五前瀏覽這份文件。,shop; crop,browse a request,Shopping,Intermediate
checkout,noun,結帳櫃台,Please review the checkout before the meeting.,請在會議前確認這項結帳櫃台。,check; check-out procedure,checkout information,Shopping,Basic
coupon,noun,折價券,Please review the coupon before the meeting.,請在會議前確認這項折價券。,voucher,coupon information,Shopping,Basic
rebate,noun,退款；折扣,Please review the rebate before the meeting.,請在會議前確認這項退款。,discount; rabbet,rebate information,Shopping,Advanced
outlet,noun,暢貨中心；出口,Please review the outlet before the meeting.,請在會議前確認這項暢貨中心。,mercantile establishment; retail store,outlet information,Shopping,Intermediate
wholesale,noun,批發,Please review the wholesale before the meeting.,請在會議前確認這項批發。,-,wholesale information,Shopping,Intermediate
merchant,noun,商人；店家,Please review the merchant before the meeting.,請在會議前確認這項商人。,merchandiser,merchant information,Shopping,Intermediate
marketplace,noun,市場；交易平台,Please review the marketplace before the meeting.,請在會議前確認這項市場。,market; market place,marketplace information,Shopping,Intermediate
consumerism,noun,消費主義,Please review the consumerism before the meeting.,請在會議前確認這項消費主義。,-,consumerism information,Shopping,Advanced
durable,adjective,耐用的,The company needs a durable solution for this issue.,公司需要一個耐用的的解決方案來處理這個問題。,lasting; long-lasting,durable service,Shopping,Intermediate
fragile,adjective,易碎的,The company needs a fragile solution for this issue.,公司需要一個易碎的的解決方案來處理這個問題。,delicate; frail,fragile service,Shopping,Intermediate
deficiency,noun,不足；缺陷,Please review the deficiency before the meeting.,請在會議前確認這項不足。,lack; want,deficiency details,Business,Advanced
malfunction,noun,故障,Please review the malfunction before the meeting.,請在會議前確認這項故障。,-,malfunction details,Business,Intermediate
breakdown,noun,故障；明細,Please review the breakdown before the meeting.,請在會議前確認這項故障。,dislocation; crack-up,breakdown details,Business,Intermediate
outage,noun,停電；服務中斷,Please review the outage before the meeting.,請在會議前確認這項停電。,-,outage details,Business,Advanced
malfunctioning,adjective,故障中的,The company needs a malfunctioning solution for this issue.,公司需要一個故障中的的解決方案來處理這個問題。,nonfunctional,malfunctioning policy,Business,Advanced
restore,verb,恢復；修復,Please restore the document before Friday.,請在星期五前恢復這份文件。,reconstruct; regenerate,restore a request,Business,Intermediate
renovate,verb,翻新；整修,Please renovate the document before Friday.,請在星期五前翻新這份文件。,restitute; refurbish,renovate a request,Business,Intermediate
renovation,noun,翻新；整修,Please review the renovation before the meeting.,請在會議前確認這項翻新。,redevelopment; overhaul,renovation details,Business,Intermediate
upgradeable,adjective,可升級的,The company needs an upgradeable solution for this issue.,公司需要一個可升級的的解決方案來處理這個問題。,-,upgradeable policy,Business,Advanced
discontinue,verb,停止；中止,Please discontinue the document before Friday.,請在星期五前停止這份文件。,stop; cease,discontinue a request,Business,Advanced
discontinued,adjective,停產的；中止的,The company needs a discontinued solution for this issue.,公司需要一個停產的的解決方案來處理這個問題。,-,discontinued policy,Business,Advanced
launching,noun,推出；發表,Please review the launching before the meeting.,請在會議前確認這項推出。,introduction; debut,launching details,Business,Advanced
prototype,noun,原型；樣品,Please review the prototype before the meeting.,請在會議前確認這項原型。,paradigm; epitome,prototype details,Business,Advanced
innovation,noun,創新,Please review the innovation before the meeting.,請在會議前確認這項創新。,invention; excogitation,innovation details,Business,Intermediate
innovative,adjective,創新的,The company needs an innovative solution for this issue.,公司需要一個創新的的解決方案來處理這個問題。,advanced; forward-looking,innovative policy,Business,Intermediate
